r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.7731964119550131,1,0,-x3 + (0.09241177141672254 - x2)*(9.9006090801724438*x2 - x4 - 12.535200630747986 + 15.427967498114256*exp(-x3)*sin(x2 + sin(tanh(1.566933438431757e-6*exp(x5 + 1.953241210528926*(x2 + 2.4912539149854895)*(-x2 + sin(x1 + 1.3756061039184335) + 1.4964588791265014)))) + 1.6916738966278613)) - sin(x2) - 0.010998684295066093,"add,sub,sub,0.9941666998724027,sin,x2,1.0051653841674688,sub,mul,sub,sub,-15.144506757008315,x4,sub,mul,1.6479734618207271,sub,sub,-1.5833423211666862,mul,5.007747885232311,x2,x2,mul,sin,sub,x2,sub,-1.6916738966278613,sin,tanh,exp,sub,-5.683401144202024,sub,mul,sub,mul,0.06315996992251725,tanh,0.10041245522859925,1.959562028890144,mul,sub,sub,sin,add,x1,1.3756061039184335,-1.4964588791265014,x2,add,2.4912539149854895,x2,sub,x5,7.682988928360257,exp,sub,2.7361819336620314,x3,sub,0.09241177141672254,x2,x3",0.08604391878344234,0.08604391878344234,False
0.7473711824530745,1,0,1.485896284355969*x2*(sin(0.02588449369333654*x4 - 13.291880312508063*(1.3465090013587058 - cos(x5 - 0.7055775520859469))*cos(0.9116099550438915*sin(1.1781399041532941*x1)) + 2.468182507209093*tanh(x2) + 0.002510137291278253) - 1.3584456628722036),"mul,mul,sub,sin,mul,0.02588449369333654,sub,sub,x4,-0.09697455631223875,mul,mul,sub,mul,exp,0.99959318132412,mul,sub,1.3465090013587058,cos,sub,x5,sin,2.358354814906236,mul,1.9819438626244068,cos,mul,sin,mul,mul,1.056165040845733,x1,mul,1.0561668664595305,1.0561668664595305,0.9116099550438915,tanh,x2,8.5847759212546,add,5.55365165933992,5.55365165933992,sub,1.6791898951343807,0.32074423226217713,x2,1.485896284355969",0.11425970080409849,0.11425970080409849,False
0.7394896406350755,1,0,1.631214099728415*x5*(-0.15888147616048054*(exp(x2) + 2.706536076503536)*(exp(sin(tanh(x5) - 4.790245064370123)) + 2.0255888813633736) - tanh(x2*(-x5 + cos(4.4504690123825626*x1 - 4.101718302099894))) + 2.081067471059658) - 1.952603308444032*sin(x2) + 0.60312704552466668,"inv,div,0.6130403116099185,add,0.36974119192881116,add,mul,add,-0.5985122703295436,-0.5985122703295436,sin,x2,mul,sub,add,mul,-0.15888147616048054,mul,add,exp,x2,exp,cos,0.09309685536751182,add,add,exp,sin,sub,tanh,x5,4.790245064370123,inv,tanh,tanh,1.5353960519358656,sin,sin,0.7679364664769913,2.081067471059658,tanh,mul,x2,sub,cos,sub,mul,add,2.2252345061912813,2.2252345061912813,x1,4.101718302099894,x5,x5",0.12410400789373599,0.12410400789373599,False
0.7387123951130818,1,0,(x4 + 0.23955196338269893)/(x2 - 162.8813722842931*exp(2*x2 - 3.5778879794348564*x3*x4 + (cos(6.738443152161514*x2 - 2.529948462370055) + 0.5834737812046921)*(-0.75718861376066816*x1 + 0.68995108896633574*x2**2 - 0.10827667667613755) - 3.5778879794348564*sin(x2) + 3.5778879794348564*cos(x2 + 2.1574084030341107))*sin(exp(sin(x5)) + 0.48975196044394687)),"div,sub,x4,-0.23955196338269893,sub,x2,mul,6.249410497146927,mul,sin,sub,exp,sin,x5,-0.48975196044394687,exp,add,sub,add,add,mul,mul,tanh,cos,-0.14439780310843942,add,sub,-0.14299828960497496,x1,mul,0.954568162328497,mul,mul,0.9545689080552767,x2,x2,add,cos,mul,6.738443152161514,sub,0.375449997164184,x2,0.5834737812046921,add,7.107533190591505,add,x2,mul,-3.5778879794348564,sub,add,tanh,0.925675250451046,add,0.346643638932051,sin,x2,sub,cos,add,2.1574084030341107,x2,mul,x4,x3,x3,x3,x2",0.1251085075399796,0.1251085075399796,False
0.7368775815292141,1,0,-31.63953200470989*(tanh(sin(cos(x1 - 2.5224968094751626*cos(0.99999824895175528*x4*x5)))) + 0.59373892914166121)*sin(tanh(x2))*tanh(0.41698554388120623*x2*x5) - 4.5342356103151719*tanh(tanh(sin(x2) - 1.1234091682731164)) + 31.63953200470989*tanh(0.03190456393658717*tanh(sin(x2))) - 3.1120684737840609,"mul,exp,1.6339982261885058,add,mul,mul,sin,0.8799818581052317,-1.1480661621415036,add,tanh,tanh,add,-1.1234091682731164,sin,x2,tanh,sin,tanh,3.8912164911308698,mul,-6.17438403021852,add,tanh,mul,-0.03190456393658717,tanh,sin,x2,mul,tanh,mul,mul,0.41698554388120623,x2,x5,mul,sin,tanh,x2,add,sub,1.2966086545745685,0.7028697254329073,tanh,sin,cos,sub,mul,sub,3.154763620064191,inv,1.5816107745215764,cos,mul,sin,add,sub,sin,1.5013503811411084,0.4262542609533298,sin,1.5013503811411084,mul,x5,x4,x1",0.12750435443138491,0.12750435443138491,False
0.734566385889205,1,0,-x1 + sin(x1 - exp(sin(2.886667403652703*x2*(56.9211879121208*exp(1.6131021694644058*(x2 - 2.905887752896418*cos(tanh(tanh(x1)) + 0.4653807493749431))*(4.196040378029333*cos(2.499582235774036*exp(x3)) + 5.7389352422678834)) + 0.3706637838513706)*exp((x2 + sin(x2*sin(tanh(x5))) - 1.2177164951164987)*exp(-x4)))) + 0.9774195540731323),"sub,sin,add,sub,0.9774195540731323,exp,sin,mul,add,exp,add,4.041667642858426,mul,mul,4.1960385594504235,cos,-1.1762011099598246,mul,sub,x2,mul,add,exp,tanh,0.8504333584018459,0.7493442193054047,mul,cos,add,tanh,tanh,x1,0.4653807493749431,exp,0.05672296189000811,mul,4.196040378029333,add,cos,mul,exp,x3,2.499582235774036,1.3677025779630771,0.3706637838513706,mul,2.886667403652703,mul,exp,mul,add,x2,add,sin,mul,sin,tanh,x5,x2,-1.2177164951164987,exp,sub,sub,x1,x4,x1,x2,x1,x1",0.13057190456840234,0.13057190456840234,False
0.7334194750981716,1,0,-x2 - tanh(x3*(-2.8053205153148931*x1 + 3.7907787407027245*x2 - 5.7907787407027245*x3 + 3.3877517642975055) - sin(2.3320722217991642*x1 - 17.52043396351999*tanh(1/(-0.5174612204131552*x2 - tanh(tanh(tanh(0.0080448683362159962 - x2)) - 2.2934832611611143*exp(-sin(x2 - 0.9099217816359135))) + tanh(sin(x2)))) + 7.3670062839651765)) - 0.7069252260433845,"sub,sub,-0.7069252260433845,tanh,add,add,sin,sub,mul,sub,tanh,inv,sub,sub,tanh,sin,x2,mul,x2,0.5174612204131552,tanh,sub,tanh,tanh,sub,sub,1.0040265460034037,x2,0.9959816776671877,exp,sub,mul,inv,1.0972394318284449,0.9107874406949189,sin,sub,x2,0.9099217816359135,sub,mul,0.13310584810027348,x1,-0.311752397506169,17.52043396351999,1.9049689904893083,sub,mul,sub,sub,mul,-3.7907787407027245,sub,2.327055184969888,add,sub,mul,mul,-0.8602546437696299,-0.8602546437696299,sub,mul,-2.0861745188668186,-2.0861745188668186,x1,x3,x2,x3,x3,x3,x4,x4,x2",0.13211494904400428,0.13211494904400428,False
0.7321373152416215,1,0,x2*(-0.086524894481878927*x2 - x4 - (x2*(-x2 + (tanh(2*x2) + 30.20316229491774)*cos(x1 + x2*x5 - 3.607618930914896) - tanh(x2 - 0.6644969254527104) + 33.199952448470218) - x2 + log(0.2822435178741326*exp(x2)))*(x2 - x3 + x4 + sin(x2) - 0.35388839024324037) - 0.75748868248430318),"mul,sub,sub,x2,add,mul,mul,0.43724969805322267,add,x2,8.754575050570509,cos,1.371597156483709,x2,add,mul,sub,log,exp,sub,x2,add,0.6324925210590924,0.6324925210590924,sub,x2,mul,x2,sub,sub,mul,sub,add,30.20316229491774,tanh,add,x2,x2,exp,-37.368256830758384,cos,add,mul,x5,x2,sub,x1,3.607618930914896,sub,tanh,add,-0.6644969254527104,x2,16.599976510062668,sub,x2,16.59997593840755,sub,sub,sin,x2,0.35388839024324037,sub,sub,x3,x4,x2,x4,x2",0.13385646455190525,0.13385646455190525,False
0.7306336425151959,1,0,-tanh(sin(2.717976647166768 - sin(sin(tanh(-0.9989835606434843*x2 + 0.40533945518912*x3) + 0.845864334194118))/(0.08167937197238404*cos(x5) - 0.08167937197238404*cos(-x2*sin(x2 + 0.13876816325589397) + sin(x2) + sin(x1 - exp(-0.8675591454595873*x5)) - tanh(sin(sin(x2))) + 1) + 0.14886260682175688))) - 0.85977064158439134,"add,tanh,sin,sub,div,sin,sin,add,tanh,sub,mul,0.40533945518912,x3,mul,cos,tanh,-0.04512187374570098,x2,sin,1.008183520957233,mul,add,sub,1.8225238910025854,cos,sub,sub,tanh,sin,sin,x2,sub,sin,x2,mul,sin,add,x2,0.13876816325589397,x2,sub,cos,sub,1.0,1.0,sin,sub,exp,mul,x5,-0.8675591454595873,x1,cos,x5,0.08167937197238404,exp,cos,6.298170521696122,tanh,-1.2924645458144006",0.13592125494935992,0.13592125494935992,False
0.7273881658757058,1,0,x3 + tanh(cos(0.99999999911635264*x2)) - 0.7671204973399376*tanh(12.087120366716233*tanh((x5 + tanh(0.5968100091756979*x2 + x5 - tanh(18.19580411458634*tanh(-x3 + x4**2))))*(0.2090203489638296*x2 - x5 + 0.29102321902843636*exp(x1 - x5) + 0.85779197351803291) - 0.24910196835353591)) - 1.6061709929289043,"add,tanh,cos,mul,sub,sin,1.5707542875903435,sub,x2,x2,x2,sub,x3,add,1.6061709929289043,mul,0.7671204973399376,tanh,mul,12.087120366716233,tanh,sub,0.8751138973306695,sub,1.1242158656842054,mul,add,sub,mul,1.2090203489638296,add,x2,1.6259527817505393,sub,add,add,1.8364381564135708,sub,x2,0.16266709983156952,x5,tanh,0.6412543652635921,exp,sub,sub,0.3826735854585573,x5,sub,1.6170258099765662,x1,add,tanh,sub,mul,x2,0.5968100091756979,sub,tanh,mul,18.19580411458634,tanh,sub,mul,x4,x4,x3,x5,x5",0.14046138526467233,0.14046138526467233,False
0.7248402193032374,1,0,-1.4404250455860392*x2*exp((-0.67847364769121834*x2 - tanh(x1 - cos(x1 + sin(x2) - 0.001358866576938661) - 0.06325389876212877))*(1.0884540332731321*cos((exp(x3) + 3.8209935553101637)*sin(x1 + sin(x2)) - 0.20071027641258535) - 1.0884540332731321*cos(cos(x5)))),"mul,mul,x2,exp,mul,sub,mul,x2,sub,0.30747276280658997,sin,1.4029474027394406,tanh,add,sub,x1,cos,add,sub,x1,exp,mul,-6.602189782362746,tanh,4.703110567427201,sin,x2,-0.06325389876212877,mul,1.0432852386072562,mul,1.0432947702070188,sub,cos,add,mul,sin,add,sin,x2,x1,add,sub,2.8352688416514464,cos,2.972421851166054,exp,x3,-0.20071027641258535,cos,cos,x5,-1.4404250455860392",0.14410708823582755,0.14410708823582755,False
0.7200237530221415,1,0,(sin(tanh(-30.0475058078672*(0.7932466154931787 - cos(x2))*(x1 - 0.99998533411864706) + 1.632896905971231)) + 1.3727021827011556)*(x2*(sin(tanh(tanh(x2)) - 0.7153249565192544) - 0.8295699117725305*sin(cos(8.044150150087408*x2*(0.6315518143584905 - x5)))) - x2 + 0.15287360256521917)*cos(x2) - 0.05058562178736576,"add,-0.05058562178736576,mul,sub,mul,x2,sub,sin,sub,tanh,tanh,x2,0.7153249565192544,mul,sin,cos,mul,sub,0.6315518143584905,x5,mul,8.044150150087408,x2,sin,sin,1.7793227627502017,add,-0.15287360256521917,x2,mul,add,1.3727021827011556,sin,tanh,mul,sub,tanh,0.2912668555473784,mul,5.21310969484549,mul,add,x1,sin,-1.5653804395728264,sub,0.7932466154931787,cos,x2,5.7638353241592,cos,x2",0.15119893349724853,0.15119893349724853,False
0.7177341695176498,1,0,sin(0.9892626851048374*x2 + 0.2852111184198149*(-0.04589583315775399*x2*sin(x2) + x5 + 1.6705907585482821)*tanh(sin(0.18959418050245094*exp(x2) + cos((x1 + 2.5680521727597725)*(-1.999704987115011*x2 + sin(exp(x1) + 1.724522758953605)) + 4.270274316589111) + 5.2871744492964521)) - 2.639078649136354),"sin,sub,sub,mul,mul,add,mul,0.04589583315775399,sub,36.399617211569016,mul,x2,sin,x2,x5,tanh,sin,sub,cos,sub,-1.1351651455049798,add,3.1351091710841312,mul,add,2.5680521727597725,x1,sub,sin,add,add,exp,x1,0.8622460263373212,0.8622767326162839,mul,sin,add,0.7768100882640026,0.7768100882640026,add,x2,x2,sub,sub,-1.6436534361113575,exp,add,x2,-1.6628693831847463,3.6435210131850946,add,sin,-0.01471693891447028,sub,tanh,1.228230228572741,0.5421376934456055,2.639078649136354,mul,x2,-0.9892626851048374",0.15466404751899396,0.15466404751899396,False
0.7164622725277534,1,0,-x3 - exp((x5 - (-x1 - x4 - x5 + sin(-x1 + x2 + x3*(-x4 - x5 - exp(3.856467744191467*x2 - 1.9282338720957335*exp(x2)) - cos(x2) + 1.6506762669367874) + 1.8980534173646683) + 0.95049727012245632)*tanh(5.9896193501414597*sin(x2**2 + 1.3319567067737268)))*sin(1.516312139068816*x2*exp(x2))) + 1.0014640194047695,"sub,1.0014640194047695,add,exp,mul,sin,mul,mul,exp,add,0.5124778193646471,x2,0.9082853779583411,x2,add,x5,mul,tanh,mul,sin,2.1348423992551657,mul,sin,add,mul,x2,x2,1.3319567067737268,-7.087476858423609,add,sin,1.6030477017379055,sub,sub,-0.048982699362893824,add,add,sin,sub,sub,sub,0.050968192211315336,sub,x2,x1,1.9490216095759836,mul,sub,exp,cos,-1.0458286172681572,add,exp,mul,1.9282338720957335,sub,x2,sub,exp,x2,x2,add,add,cos,x2,x4,x5,x3,x4,x1,x5,x3",0.15661561344690667,0.15661561344690667,False
0.7153101873889592,1,0,13.81724233304652*sin(exp(tanh(sin(tanh(cos((x2 + 0.37395211541019516)*(x2*sin(1.7237533333229473*x5 - sin(1.1177159568367073*x1 + x2) + 1.3806013555074772) + 0.2961599862691464)) - cos(0.8414591247498387*x2 - 0.06081253250130821)))*tanh(tanh(tanh(x1) + tanh(x2))))) + tanh(x3 - 16.79372955697469)),"mul,13.81724233304652,sin,add,tanh,sub,x3,mul,4.098015319270377,4.098015319270377,exp,tanh,mul,sin,tanh,sub,cos,mul,add,mul,x2,sin,add,sub,mul,1.7237533333229473,x5,sin,add,x2,mul,sub,1.5588549061288985,0.4411389492921912,x1,1.3806013555074772,mul,0.5442058307930432,0.5442058307930432,add,exp,tanh,-0.3921871601416417,add,add,-0.15726864554648343,x2,-0.15727630178889793,cos,add,tanh,-0.06088766418985191,mul,sin,tanh,5.709930548347628,x2,tanh,tanh,add,tanh,x1,tanh,x2",0.1583999472275928,0.1583999472275928,False
0.7140678608791395,1,0,-x2 + 1.4933719659200326*x5 - (0.17676025873052895*x2 - 0.17676025873052895*tanh(x2) + 1.2145013895780064)*(-x3 + x5 + 17.58711692282934) - sin(sin(4.8731251904109*exp(-x1 - x2 - 0.20072256702664941*exp(x2)) - 1.9321203805828024) - 1.9276445029070393) + 20.240836153634772,"sub,sub,sin,add,sin,sub,1.9321203805828024,exp,sub,sub,sub,1.583735454155401,x2,x1,mul,0.042663010189309195,exp,sub,x2,log,sin,2.9274117150404386,1.9276445029070393,sub,-3.560643747609039,5.5600612769667395,sub,x2,sub,mul,cos,mul,sub,1.0,x2,sub,x2,x2,5.560068662727287,sub,mul,x5,-2.4933719659200326,sub,sub,5.560062466331707,mul,mul,add,sub,-6.8708961974847185,x2,tanh,x2,-0.17676025873052895,sub,sub,sub,sub,9.793249852878334,-7.793867069951009,sub,sub,sub,x4,x3,x5,x4,x3,x3,x5",0.16034188079173287,0.16034188079173287,False
0.7129673369142807,1,0,-0.26213591535343644/(-1.1205095512707248*x2 + (x1 + 9.233653400809276e-7)*cos(2.200750052008397*x5 - 4.7719569654478618*exp(sin(0.011442176094526742*x2))) + 1.2533134881576042 + 7.090399552967342*exp(-12.61248194683738*x2)),"mul,-0.26213591535343644,inv,add,mul,cos,sub,mul,2.200750052008397,x5,exp,sub,1.5627564860575085,sin,mul,x2,-0.011442176094526742,add,mul,0.0009609190080755649,0.0009609190080755649,x1,add,add,mul,add,0.3745808907599643,mul,add,x2,tanh,0.9192803524734202,sin,2.3705910037940185,-1.6079545735691827,exp,add,sub,0.9793698464673891,mul,x2,inv,0.07928653568862022,0.9793718469270665,2.668615859151156",0.1620777401668245,0.1620777401668245,False
0.711830600413098,1,0,sin(x3 + (x1 - tanh(exp(x2 + exp(x2)) - 0.1562555562278491) + 4.8896586603796805)*tanh((-3.2388327226496716*tanh(-x2 + sin(exp(x2) + 3.2274555807663345) + 1.7498065331601428) - 3.8596677670033037)*cos(sin(tanh(x1) + 3.64461305389707)) + cos(x1*x2) + 1.371698907996111) + 7.263245694115305),"sin,add,add,mul,add,sub,3.905650318948391,tanh,sub,exp,add,exp,x2,x2,mul,-0.6287223120770784,mul,mul,-0.6287222959954197,-0.6287222959954197,-0.6287223120770784,add,x1,cos,-0.17907799115935202,tanh,add,cos,mul,x1,x2,add,exp,0.3160500504066322,mul,mul,sub,-1.191684812868548,tanh,add,add,sin,add,3.2274555807663345,exp,x2,sub,1.0729761368713402,x2,sin,sin,0.8382117669285691,3.2388327226496716,cos,sin,add,3.64461305389707,tanh,x1,7.263245694115305,x3",0.16388621151183994,0.16388621151183994,False
0.7104131632426662,1,0,(x2 - 0.10142692264326623*x3 + sin(x2 + 0.35543437621282532*exp(x2) - 2.5607972627748545) + 0.82295796154776568)/(x1*(0.3845612337300832*x2 + 0.61533963918076823)*cos(4.2449879659813565*x3) - 0.7284595920392667),"mul,inv,sub,mul,mul,x1,cos,div,x3,0.23557192812178443,sub,x2,mul,sub,x2,sin,1.5887446788463964,0.6154387662699168,0.7284595920392667,sub,sin,add,sub,x2,sub,add,sub,1.640191055698245,0.35979277027923656,1.640191055698245,0.35979207834239896,mul,exp,x2,sub,1.1703114046077812,sin,0.9525170093595339,sub,sub,-0.41147898077388284,sub,mul,-0.10142692264326623,x3,-0.41147898077388284,x2",0.1661635010792746,0.1661635010792746,False
0.7096882302749071,1,0,1/(-4.9476804855052344*x5*exp(3.136476821419058*x2*(-x4 + tanh(-x1 + x2)) - x3) + 2.967783793482487*exp(x2) + sin(x2 - 3.80145428636239) + 2.967783793482487*sin(sin(sin(exp(x2)) - 0.4636540799709811)) - 2.967783793482487*cos(x2*(-0.7346777591731076*x2 + 7.275263329994731*x5 - 0.52449864883106983) + 0.5762651133189148*x3) - 5.9763350210426385),"inv,add,add,sin,sub,x2,3.80145428636239,-5.9763350210426385,sub,mul,sub,sin,sin,sub,0.4636540799709811,sin,exp,x2,sub,exp,x2,cos,sub,mul,x3,sub,0.7118506538677853,1.2881157671867,mul,x2,sub,mul,-0.7346777591731076,x2,mul,add,x5,mul,-0.0981600570952473,sin,mul,sub,0.767983229373569,sub,1.2317908682406231,0.7679841867964521,2.7117556305294026,-7.275263329994731,-2.967783793482487,mul,exp,sub,add,1.5989188779717431,mul,mul,x2,3.136476821419058,sub,tanh,sub,sub,add,x2,x2,x2,x1,x4,x3,x5",0.16733780996050893,0.16733780996050893,False
0.7082877318118439,1,0,(9.2364209076840814*x2 - 5.2146266649268669*x3 - exp(x2) - 5.2146266649268669*tanh(x2 + x5) + 4.7145788283825589)*cos(sin((1.8848436903784272 - x1)*(tanh(0.29401202017607864 - x2) + 0.8338519696256392)) - 2.6644182827210838),"mul,add,cos,sub,exp,exp,-0.020217244784079384,sin,mul,sub,sub,1.2949433587498735,sub,0.7050430271213198,1.2949433587498735,x1,sub,tanh,sub,0.29401202017607864,x2,cos,3.726339284054954,sub,x2,x2,sub,sub,sin,1.4254740113183573,sub,x2,1.6278265001223122,sub,sub,exp,x2,exp,1.6682450452091901,mul,sub,2.4048740058890568,sub,-0.4048786531487533,2.4048740058890568,add,x2,sub,sub,sub,add,x2,mul,x2,-0.036979142431542954,sub,0.8715584433759623,sub,1.1283920931721536,tanh,add,x5,x2,0.8715584457407143,x3",0.16962503458864656,0.16962503458864656,False
0.7082719757957596,1,0,-0.5186616744889344*x2 + sin((x2 - cos(x5) - 6.142457167582139)*tanh((-x2 + x5)*(sin(x1*x2) - 0.23603075413323227)) + 0.5401978425701375) - 0.9858350668505098,"add,sub,-0.9858350668505098,mul,x2,0.5186616744889344,sin,add,mul,add,-6.142457167582139,sub,x2,cos,x5,tanh,mul,sub,x5,x2,sub,sin,mul,x2,x1,0.23603075413323227,cos,1.0001241387249387",0.16965090647929795,0.16965090647929795,False
0.707473226043426,1,0,-0.9999987581752312*sin(x2*(1.3432369687549477 - x5)) + sin(sin(x2) + sin(x1 + x2/(x3 + tanh(-0.21996677129917569*x2**2 + 0.052275292915885551*x2 + x2/(x3 - x4*(-x1 + x3 - x4) + 6.476893657144457) + x3 + 0.057623840449663785 + 0.21996677129917569*tanh(1))) + 1.0)) - 0.9157346584296556,"add,sub,mul,cos,sub,-2.889807915277639,exp,-1.372941120387537,sin,mul,sub,1.3432369687549477,x5,x2,0.9157346584296556,sin,sub,sin,x2,sin,sub,tanh,-43.91946026456027,add,div,x2,add,tanh,add,sub,tanh,sin,2.0978455822156072,sub,sub,sub,mul,sub,add,sub,mul,x2,x2,tanh,cos,sub,1.0,1.0,2.913349665216507,mul,x2,-8.854631522663139,mul,0.31181811091252565,sin,0.7830338081138343,div,x2,add,sub,6.476893657144457,mul,sub,sub,x3,x1,x4,x4,x3,x2,x3,x2,x3,x1",0.17096658058547262,0.17096658058547262,False
0.7062469180210527,1,0,0.4252258165377449*(-x1*exp(tanh((sin(sin(6.032395859805452*x2)) + 0.5178742877092978)*exp(x5))) - 1.6883514109298747)*exp(x2) + sin(log(tanh(x1) + 0.4375382483036549) - tanh(sin(0.10781319934601427*sin(-(x2 + 4.783300772590799)*(-sin(x5 - 0.26451602156399384) - 0.4840973090161154/(6.0887859354430578*x2 + 0.19634965250773014)))))) + 1.3918956416899864,"add,add,1.6958364749979369,sub,sin,add,tanh,sin,mul,sin,mul,add,4.783300772590799,x2,sub,sin,sub,0.26451602156399384,x5,div,0.4840973090161154,div,add,x2,0.03224775096210416,mul,sub,add,0.788412730644096,tanh,1.0018468098903923,1.2115178327507437,0.48409662888889243,tanh,0.10823386600859729,log,add,tanh,x1,0.4375382483036549,0.30394083330795046,mul,div,0.5656293083656069,1.3301857186636719,mul,exp,x2,sub,-1.6883514109298747,mul,exp,tanh,mul,exp,x5,sub,sin,sin,mul,x2,6.032395859805452,-0.5178742877092978,x1",0.17300224240648662,0.17300224240648662,False
